#,TITLE,ARTIST,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.,RND,Label
1147,Phantom Pain,Gravemind,6/20/2019,160,99,39,-3,25,4:07,0,36,3707,0
1148,The Demoness,Auras,6/27/2019,130,99,47,-4,39,4:18,0,30,7402,0
1149,Early Grave,The Contortionist,6/25/2019,153,83,20,-6,36,3:51,0,48,6099,0
1150,Abandoned,Unprocessed,6/14/2019,108,86,56,-7,17,5:27,0,36,7588,0
1151,Lost in my Mind,Lone Survivors,7/5/2019,123,90,32,-5,67,4:29,0,29,8745,0
1152,The Accursed,Born Of Osiris,11/16/2018,196,98,38,-6,10,3:27,2,34,106,0
1153,Dead and Gone,RVNT,6/4/2019,105,95,47,-6,39,2:58,0,32,3980,0
1154,Where I Belong,Anup Sastry,6/18/2019,185,98,41,-4,39,5:05,0,38,1147,0
1155,Leviathan,Monuments,10/5/2018,106,97,58,-4,49,4:35,0,45,4776,0
1156,Don't Fall Asleep,Hollow Front,6/29/2018,130,92,54,-7,20,4:48,1,50,8008,0
1157,Fear,Unprocessed,5/17/2019,131,85,39,-7,32,4:43,0,38,8717,0
1158,Garden in the Bones,Periphery,3/1/2019,135,97,52,-5,36,5:57,1,32,6631,0
1159,Reprogram,Hacktivist,4/10/2019,139,97,57,-5,33,4:27,0,38,8603,0
1160,Jawless,Lotus Eater,3/29/2019,76,97,37,-5,39,3:28,0,37,5459,0
1161,Blood Eagle,Periphery,2/6/2019,125,98,49,-5,9,5:58,0,36,5661,0
1162,Plus Ultra (Choke),The Ansible,3/29/2019,145,96,41,-4,15,2:52,1,27,4239,0
1163,A Voice Inside,RVNT,5/7/2019,105,97,47,-6,28,3:20,0,28,8370,0
1164,"Teacher, Teacher!",Jinjer,1/11/2019,140,96,50,-4,12,5:52,0,31,7772,0
1165,Reclaim,From Sorrow To Serenity,3/1/2019,106,98,50,-4,39,3:16,0,29,5217,0
1166,Empire,Red Handed Denial,2/26/2019,150,96,41,-4,38,3:11,0,31,9849,0
1167,Final Tale,Ghost Iris,1/11/2019,125,95,52,-4,35,3:46,0,33,4369,0
1168,Dead Orbit,DEMATERIALIZE,5/7/2019,150,95,51,-5,23,3:31,0,34,7767,0
1169,Disarray,Erra,6/13/2018,105,99,50,-3,21,3:50,0,34,5811,0
1170,The Modern Rage,Kadinja,1/18/2019,130,97,52,-4,14,4:07,0,31,5415,0
1171,Marigold,Periphery,7/22/2016,106,95,21,-6,6,7:20,0,50,3895,0
1172,Hansha,Oceans Ate Alaska,7/28/2017,130,85,52,-5,29,3:38,0,53,1906,0
1173,Juno,TesseracT,4/20/2018,108,90,58,-6,26,5:13,1,29,4505,0
1174,Born in Dissonance,Meshuggah,10/7/2016,106,99,26,-5,22,4:35,0,48,3384,0
1175,Physical Education,Animals As Leaders,3/25/2014,115,95,57,-6,53,4:41,0,53,3070,0
1176,Overthrow,Veil Of Maya,10/20/2017,103,99,37,-4,21,3:55,0,50,1652,0
1177,Vivid,SikTh,6/2/2017,132,98,27,-4,17,4:29,0,19,392,0
1178,Dissonance,Deceptic,1/4/2019,120,98,53,-7,13,3:43,0,32,3402,0
1179,Unlike Us,Hacktivist,11/11/2013,105,96,51,-2,30,3:16,0,35,1627,0
1180,Eight Milligrams,Mycelia,10/12/2018,140,94,50,-5,38,4:04,0,31,2076,0
1181,Wrath,The Afterimage,5/11/2018,124,97,53,-5,33,3:49,0,28,4073,0
1182,Lifelike,Gravemind,4/6/2018,97,99,21,-2,22,4:00,0,41,7932,0
1183,Empires Erased,Born Of Osiris,2/24/2017,110,96,29,-3,54,3:26,0,42,9518,0
1184,Samsara,The Northern,4/27/2018,148,100,43,-4,4,4:41,0,32,8505,0
1185,Shapeshifter,QuietKind,5/11/2018,150,99,24,-4,4,4:16,0,32,8145,0
1186,Dream Sequence,Circles,8/31/2018,163,88,30,-8,46,4:49,0,0,9238,0
1187,Mind,Levels,4/20/2018,125,96,47,-4,51,3:04,0,26,8855,0
1188,Exhale,Unprocessed,4/6/2018,142,98,34,-3,37,3:27,0,28,2228,0
1189,Seven,The Royal,3/3/2017,133,97,25,-4,38,3:49,0,0,496,0
1190,Bleed,Meshuggah,3/7/2008,115,100,24,-6,18,7:23,0,58,7392,0
1191,Rest,Curses,1/26/2018,115,85,53,-4,57,4:03,0,33,122,0
1192,Cafo,Animals As Leaders,7/10/2015,155,94,38,-7,12,6:41,0,38,7616,0
1193,Boneheads,As A Conceit,12/2/2016,122,94,45,-4,32,4:34,0,30,6065,0
1194,Curses,I Am Haunted,7/27/2017,104,97,40,-3,32,3:29,0,33,304,0
1195,Creatures from the Mud,Shokran,9/17/2016,123,99,47,-3,14,4:26,0,40,516,0
1196,Heirloom,A Sense of Purpose,9/1/2017,130,95,46,-6,8,4:22,0,33,1859,0
1197,Pull Me Under,If I Were You,12/16/2016,110,99,41,-3,12,3:41,0,38,9412,0
1198,Moving on,Smoke Signals,9/12/2016,116,96,49,-6,32,3:37,0,30,9449,0
1199,Paradox,Valis Ablaze,2/16/2018,105,98,53,-3,35,6:06,0,28,3906,0
1200,Ascend from Disruption,Circle of Contempt,7/1/2016,130,98,23,-3,36,2:57,0,31,2242,0
1201,Retrograde (feat. Spencer Sotelo),Jason Richardson,7/29/2016,120,100,56,-1,32,4:15,0,39,9873,0
1202,Solar,Aviana,7/8/1905,106,97,47,-3,18,3:15,0,0,1789,0
1203,The Quartz Grave,V3ctors,7/24/2017,78,98,12,-5,8,4:19,0,30,449,0
1204,We Are Infinite,Scenery With Solace,7/1/2016,125,94,49,-5,16,4:27,0,30,9465,0
1205,We the Shaded,Harkla,3/3/2017,140,92,45,-7,40,5:02,0,31,1698,0
1206,The Violent Sound,"Time, The Valuator",8/11/2017,95,89,46,-6,4,4:55,0,29,5804,0
1207,Ghost Pains,Life Barrier,2/16/2018,119,86,25,-10,20,4:20,0,30,3834,0
1208,Left For Dead,Volumes,6/9/2017,194,91,35,-5,14,2:17,0,36,3273,0
1209,Hollow,RVNT,3/3/2017,120,99,42,-3,10,3:48,0,32,700,0
1210,Reptile,Thornhill,1/19/2018,125,99,47,-2,26,3:44,0,0,1624,0
1211,Spiral,Auras,8/26/2016,135,92,47,-6,33,4:17,0,28,8833,0
1212,Stone of Mourning,Kadinja,2/17/2017,75,99,38,-4,27,3:40,0,35,414,0
1213,Withered,Currents,5/26/2017,110,96,56,-4,38,3:46,1,0,3742,0
1214,Rigel,Thessa,12/19/2016,115,94,23,-10,29,4:43,0,34,676,0
1215,Code,Close To The Sky,10/21/2016,130,98,47,-3,23,4:02,0,27,9481,0
1216,Chameleon,Hollow Front,8/31/2017,120,99,54,-4,36,4:30,0,36,6793,0
1217,Foreign Coast,Aerial,6/10/2016,105,94,43,-5,19,4:24,0,0,7668,0
1218,Invisible Enemy,August Burns Red,10/6/2017,134,98,20,-5,5,4:38,0,53,352,0
1219,Sovereign,Carcer City,8/26/2016,145,95,51,-5,9,4:23,1,27,4338,0
1220,Dystopia,Unseen Faith,8/25/2017,160,94,41,-5,53,2:40,0,0,2544,0
1221,Doomsday,Architects,9/7/2017,125,99,30,-4,21,4:07,0,47,7144,0
1222,Uncharted,Make Them Suffer,7/28/2017,120,91,49,-4,26,4:53,0,42,4528,0
1223,Mouth of Madness,Heart Of A Coward,10/2/2015,138,96,37,-4,10,4:51,0,34,1109,0
1224,Transgression,Divisions,11/10/2017,112,96,52,-4,39,3:46,0,30,8374,0
1225,Lucid - Instrumental,Divitius,10/31/2016,150,98,39,-4,10,4:30,0,32,9932,0
1226,Under Different Welkins,Novelists,9/8/2017,198,95,36,-6,27,5:05,1,0,492,0
1227,Thousand-Arms Fortress,Returning We Hear the Larks,8/25/2017,101,92,52,-5,27,5:49,0,32,2121,0
1228,The Worst of Us,QuietKind,2/2/2018,119,96,29,-4,32,4:39,0,30,647,0
1229,Paradise,"Above, Below",1/12/2017,125,99,47,-3,8,3:16,0,28,7680,0
1230,Supernova,Andromida,11/13/2016,143,99,43,-3,27,4:34,0,37,4256,0
1231,Lights,Adept,2/19/2016,130,96,45,-4,44,3:40,0,25,3998,0
1232,Nocturne: Lost Faith,"Invent, Animate",8/22/2014,125,99,46,-3,10,3:27,0,39,9037,0
1233,It's Killing Me,Shields,1/26/2018,130,99,43,-4,11,3:54,0,27,5737,0
1234,Collapse,After The Burial,2/19/2016,154,97,37,-5,28,4:12,0,53,5611,0
1235,Scattered,Soulkeeper,3/16/2018,83,98,29,-6,9,4:03,0,31,5640,0
1236,We Bleed,Firebreather,9/27/2019,126,92,29,-8,33,6:48,0,35,3351,0
1237,Into the Fray,Year of the Cobra,8/16/2019,141,83,27,-8,30,4:33,0,34,8188,0
1238,The Sweet Whore of Babylon,Stoned Jesus,11/8/2019,136,76,27,-3,22,5:54,45,34,3644,0
1239,Arluck,Russian Circles,8/2/2019,85,67,30,-7,24,6:33,0,47,4033,0
1240,Murder is Murder is Murder,Ohhms,10/23/2019,124,84,45,-5,15,4:25,0,32,362,0
1241,Cold Hope,Pelican,5/21/2019,142,95,28,-5,23,6:58,0,30,5961,0
1242,Frost (C),Sunn 0))),10/25/2019,75,2,8,-12,3,10:57,16,42,2430,0
1243,Dream In Motion,kirk Windstein,11/8/2019,104,92,54,-6,25,4:11,0,40,1749,0
1244,Reacts,Mars Red Sky,9/27/2019,84,43,8,-13,27,7:42,0,28,9337,0
1245,The Worst in Us,Process Black,10/25/2019,140,78,43,-6,18,2:21,1,25,2763,0
1246,The Spaceships Of Ezekiel,Mammoth Weed Wizard Bastard,3/1/2019,78,78,23,-8,18,8:25,0,32,7634,0
1247,Desert Coffin,Solace,11/20/2019,83,95,24,-5,35,6:18,0,27,1280,0
1248,Lay Your Head to Rest,Cult Of Luna,9/5/2019,100,70,35,-9,23,6:24,0,31,4245,0
1249,Endeavour,Conjurer,8/10/2019,175,83,12,-7,27,2:21,0,27,7289,0
1250,A Step in the Morning Glow,envy,11/15/2019,82,52,17,-7,7,7:14,0,23,1763,0
1251,LOVE,Boris,8/15/2019,102,83,14,-4,22,6:47,0,27,5969,0
1252,Pagan Saviour,Black Royal,11/1/2019,78,91,23,-5,26,4:31,0,37,1023,0
1253,Admission,Torche,6/25/2019,120,82,40,-5,25,4:01,0,30,7564,0
1254,Alruna,Mammoth Storm,6/28/2019,115,84,41,-8,12,7:50,0,30,7947,0
1255,Skywards,Monolord,9/20/2019,120,73,24,-9,35,6:55,0,37,7669,0
1256,Ice Castle,Howling Giant,9/27/2019,151,89,24,-8,25,4:38,0,31,2685,0
1257,Omens,Beastwars,4/12/2019,124,94,38,-7,16,5:42,0,24,6527,0
1258,Closed Gate,Firebreather,8/26/2019,115,88,23,-8,37,8:53,0,27,1909,0
1259,The Ark Burner,Sorxe,10/4/2019,119,76,25,-9,19,13:31,26,22,9189,0
1260,Love Like Blood,Dool,5/17/2019,115,51,57,-11,14,4:53,0,33,908,0
1261,Descent - Single Version,Esoteric,9/9/2019,139,53,16,-8,11,7:53,1,25,1041,0
1262,Love You Without No Lies,Silvertomb,8/23/2019,122,77,44,-8,19,4:25,0,29,3295,0
1263,Darkness Thy Gift,Murder Made God,9/20/2019,115,71,54,-8,36,3:38,0,31,901,0
1264,Melting Eyes,VAK,7/5/2019,111,77,45,-7,13,6:29,0,23,1510,0
1265,II,Glare Of The Sun,6/21/2019,135,95,24,-8,4,6:40,0,29,278,0
1266,Atlantis,Pallbearer,6/14/2019,134,82,19,-7,34,5:31,1,34,4649,0
1267,Moderate Spectre,Oh Hiroshima,6/28/2019,106,71,47,-10,9,6:29,0,6,5034,0
1268,The Silent Man,Cult Of Luna,5/6/2019,123,95,40,-7,4,10:37,0,31,7770,0
1269,New Orleans Is the New Vietnam,Eyehategod,9/11/2012,154,78,22,-9,40,4:08,0,40,4976,0
1270,The Screen,YOB,6/8/2018,126,67,62,-7,53,9:50,1,40,9057,0
1271,Broken Halo,Baroness,6/14/2019,136,92,42,-3,29,4:24,0,31,9774,0
1272,Electric Machine,Acid King,9/3/1999,118,66,32,-10,20,6:25,0,47,3864,0
1273,Junkie,Buzzov•en,8/23/2011,101,78,43,-8,60,3:44,0,21,6768,0
1274,Greenthumb,Bongzilla,9/23/2002,132,95,23,-6,30,4:07,0,42,9920,0
1275,Cain Enabler,Weedeater,5/18/2015,184,87,22,-10,23,3:01,1,28,4203,0
1276,Avian Dawn,Sourvein,4/8/2016,76,69,36,-7,34,3:27,0,24,6227,0
1277,Hour of the Dragon,Yatra,1/4/2019,121,71,34,-10,10,5:00,12,25,6756,0
1278,Concept Unification,Pinkish Black,5/29/2019,85,33,11,-9,3,5:14,9,28,6606,0
1279,Rhinoceros,Grief,12/25/2015,85,86,20,-4,6,7:22,0,30,8565,0
1280,One Nine,Black Cobra,6/28/1905,84,90,20,-5,28,3:09,11,26,6680,0
1281,Disgraced Possession,Fister,4/27/2018,90,92,12,-5,23,9:46,0,15,3312,0
1282,I Saw the End,Pallbearer,3/24/2017,114,88,26,-8,32,6:22,0,27,7311,0
1283,How They Envisioned Life,Sâver,3/8/2019,142,66,20,-6,11,7:31,0,29,3957,0
1284,Haunter of the Dark,Cough,6/3/2016,141,80,15,-8,24,7:50,0,37,6407,0
1285,Fire Gone Out,Palehorse/Palerider,5/10/2019,142,63,38,-10,24,7:09,0,30,1985,0
1286,God's on Vacation,Black Tusk,1/29/2016,150,94,27,-5,52,2:48,0,31,4504,0
1287,Crusher,Kylesa,10/2/2015,130,75,51,-6,38,4:56,19,34,2422,0
1288,To Carry the Flame,Old Man Gloom,6/26/2012,132,54,16,-6,24,4:31,0,28,4298,0
1289,Envy the End,Lord Dying,4/26/2019,145,98,47,-8,21,5:34,0,26,2469,0
1290,Troubled Air,Sunn 0))),4/19/2019,101,3,13,-8,3,11:46,1,21,7851,0
1291,Citadel,Inter Arma,2/12/2019,147,90,25,-6,25,6:41,0,25,8233,0
1292,Unchaining,Toke,11/29/2018,109,79,31,-7,70,4:15,0,21,6999,0
1293,Satan,Ufomammut,10/30/2017,139,64,18,-5,20,3:26,0,29,994,0
1294,Make Them Die Slowly,Church Of Misery,3/4/2016,147,65,26,-5,62,6:25,0,25,5760,0
1295,See You In Hell,Electric Wizard,11/17/2017,126,68,19,-7,30,6:38,0,43,6943,0
1296,Toledo,Dopelord,2/1/2019,110,42,42,-12,26,7:10,1,28,8455,0
1297,Diablerie,Windhand,10/5/2018,80,77,32,-9,42,5:21,0,38,2239,0
1298,Prosper On The Path,Conan,9/14/2018,174,88,22,-8,15,5:24,0,13,727,0
1299,YeYin,Druids,12/1/2017,112,91,22,-6,12,4:07,0,23,7561,0
1300,A Solitary Reign,Amenra,10/20/2017,94,48,13,-8,8,9:04,0,41,6108,0
